id,n_lines_gt,n_lines_pred,n_line_cmds_gt,n_line_cmds_pred,gt_h,gt_v,pred_h,pred_v,ratio_h_sample,ratio_v_sample,par_recall_hits,par_recall_denom,par_recall_index_aligned,perp_recall_hits,perp_recall_denom,perp_recall_index_aligned,pair_recall_extrude_count_mismatch,pair_recall_extrudes_skipped_line_mismatch,parse_ok_gt,parse_ok_pred
00321680,2,2,2,2,0,0,0,0,,,0,0,,1,1,1.0,False,0,True,True
00321686,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00321698,9,9,9,9,3,0,4,0,1.3333333333333333,,1,1,1.0,0,0,,False,0,True,True
00321719,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00321720,10,10,10,10,4,6,4,6,1.0,1.0,4,4,1.0,8,8,1.0,False,0,True,True
00321721,13,12,13,12,6,7,6,6,1.0,0.8571428571428571,5,5,1.0,10,10,1.0,False,1,True,True
00321729,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00321730,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00321733,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00321742,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00321752,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00321762,16,16,16,16,8,8,8,8,1.0,1.0,26,26,1.0,34,34,1.0,False,0,True,True
00321764,16,16,16,16,8,8,8,8,1.0,1.0,26,26,1.0,34,34,1.0,False,0,True,True
00321787,8,8,8,8,4,4,4,4,1.0,1.0,4,4,1.0,8,8,1.0,False,0,True,True
00321788,28,28,28,28,12,16,11,13,0.9166666666666666,0.8125,31,46,0.6739130434782609,49,56,0.875,False,0,True,True
00321805,8,8,8,8,4,4,4,4,1.0,1.0,12,12,1.0,16,16,1.0,False,0,True,True
00321806,2,4,2,4,0,0,2,0,,,0,0,,0,0,,False,1,True,True
00321816,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00321828,11,11,11,11,5,5,5,5,1.0,1.0,12,12,1.0,17,17,1.0,False,0,True,True
00321829,2,2,2,2,2,0,2,0,1.0,,1,1,1.0,0,0,,False,0,True,True
00321839,4,4,4,4,0,0,0,0,,,0,1,0.0,0,0,,False,0,True,True
00321846,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00321851,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00321856,8,8,8,8,3,2,3,3,1.0,1.5,2,2,1.0,4,4,1.0,False,0,True,True
00321857,8,8,8,8,3,2,4,2,1.3333333333333333,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00321858,28,28,28,28,14,14,14,14,1.0,1.0,14,14,1.0,28,28,1.0,False,0,True,True
00321861,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00321865,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00321866,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00321867,24,24,24,24,12,12,12,12,1.0,1.0,12,12,1.0,24,24,1.0,False,0,True,True
00321868,32,32,32,32,11,12,12,10,1.0909090909090908,0.8333333333333334,4,14,0.2857142857142857,15,21,0.7142857142857143,False,0,True,True
00321870,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00321873,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00321881,33,33,33,33,15,14,11,11,0.7333333333333333,0.7857142857142857,18,44,0.4090909090909091,52,60,0.8666666666666667,False,0,True,True
00321884,6,6,6,6,2,2,2,2,1.0,1.0,2,2,1.0,5,5,1.0,False,0,True,True
00321887,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00321888,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00321895,8,8,8,8,4,4,4,4,1.0,1.0,4,4,1.0,8,8,1.0,False,0,True,True
00321896,8,8,8,8,4,4,4,4,1.0,1.0,4,4,1.0,8,8,1.0,False,0,True,True
00321900,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00321931,14,12,14,12,7,7,5,7,0.7142857142857143,1.0,2,2,1.0,7,7,1.0,False,2,True,True
00321933,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00321941,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00321942,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00321944,4,4,4,4,1,2,1,2,1.0,1.0,1,1,1.0,2,2,1.0,False,0,True,True
00321946,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00321952,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00321958,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00321970,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00321985,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00321990,6,6,6,6,0,0,0,1,,,0,2,0.0,0,2,0.0,False,0,True,True
00321991,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00321992,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00322000,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00322001,4,4,4,4,2,1,2,1,1.0,1.0,1,1,1.0,2,2,1.0,False,0,True,True
00322010,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00322014,8,8,8,8,0,0,0,2,,,0,7,0.0,0,0,,False,0,True,True
00322016,8,8,8,8,2,0,0,1,0.0,,1,8,0.125,0,4,0.0,False,0,True,True
00322022,8,8,8,8,4,4,4,4,1.0,1.0,12,12,1.0,16,16,1.0,False,0,True,True
00322023,6,6,6,6,4,2,4,2,1.0,1.0,7,7,1.0,8,8,1.0,False,0,True,True
00322024,4,4,4,4,1,1,1,1,1.0,1.0,0,0,,1,1,1.0,False,0,True,True
00322025,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00322026,8,8,8,8,4,4,4,4,1.0,1.0,4,4,1.0,8,8,1.0,False,0,True,True
00322034,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00322036,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00322037,17,15,17,14,13,4,9,2,0.6923076923076923,0.5,5,11,0.45454545454545453,6,10,0.6,False,1,True,True
00322038,6,6,6,6,3,2,3,2,1.0,1.0,1,1,1.0,3,3,1.0,False,0,True,True
00322039,8,8,8,8,4,4,4,4,1.0,1.0,12,12,1.0,16,16,1.0,False,0,True,True
00322040,4,4,4,4,0,4,0,4,,1.0,2,2,1.0,0,0,,False,0,True,True
00322046,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00322047,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00322048,4,4,4,4,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00322053,8,8,8,8,4,4,4,4,1.0,1.0,4,4,1.0,8,8,1.0,False,0,True,True
00322054,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
