id,n_lines_gt,n_lines_pred,n_line_cmds_gt,n_line_cmds_pred,gt_h,gt_v,pred_h,pred_v,ratio_h_sample,ratio_v_sample,par_recall_hits,par_recall_denom,par_recall_index_aligned,perp_recall_hits,perp_recall_denom,perp_recall_index_aligned,pair_recall_extrude_count_mismatch,pair_recall_extrudes_skipped_line_mismatch,parse_ok_gt,parse_ok_pred
00588994,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00589082,10,10,10,10,6,4,4,4,0.6666666666666666,1.0,5,9,0.5555555555555556,8,12,0.6666666666666666,False,0,True,True
00589163,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00589211,12,12,12,12,6,6,6,6,1.0,1.0,6,6,1.0,12,12,1.0,False,0,True,True
00589481,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00589716,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00589764,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00589874,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00589967,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00590175,20,20,20,20,0,0,0,1,,,0,0,,0,0,,False,0,True,True
00590222,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00590360,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00590377,12,12,12,12,6,6,6,6,1.0,1.0,6,6,1.0,12,12,1.0,False,0,True,True
00590625,16,16,16,16,8,8,8,8,1.0,1.0,8,8,1.0,16,16,1.0,False,0,True,True
00590831,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00590842,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00591066,14,12,14,12,4,10,0,8,0.0,0.8,1,2,0.5,2,2,1.0,False,2,True,True
00591112,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00591155,8,8,8,8,4,4,3,3,0.75,0.75,6,12,0.5,9,16,0.5625,False,0,True,True
00591437,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
